Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.7124	0.1740	0.1443	0.1578	0.4966	0.2067	922031	353543	1275574
multilex_test_de_ls.tsv	German	0.3965	0.0760	0.1576	0.1025	0.3035	0.1649	1068756	420818	1489574
multilex_test_en_ls.tsv	English	0.8316	0.2108	0.4284	0.2826	0.6333	0.3316	743440	389433	1132873
multilex_test_es_ls.tsv	Spanish	0.8078	0.2432	0.2147	0.2281	0.6189	0.3221	946391	461479	1407870
multilex_test_fil_ls.tsv	Filipino	0.0789	0.0094	0.0398	0.0153	0.0509	0.0316	716178	497724	1213902
multilex_test_fr_ls.tsv	French	0.8123	0.2172	0.2629	0.2379	0.5930	0.3281	848094	435328	1283422
multilex_test_it_ls.tsv	Italian	0.7789	0.1721	0.2428	0.2015	0.5456	0.2702	995508	433856	1429364
multilex_test_ja_ls.tsv	Japanese	0.5088	0.0938	0.0764	0.0842	0.3211	0.1439	950730	720573	1671303
multilex_test_pt_ls_568.tsv	Portuguese	0.7218	0.1192	0.3002	0.1707	0.4665	0.2658	975017	438523	1413540
multilex_test_si_ls.tsv	Sinhala	0.0133	0.0017	0.0062	0.0027	0.0050	0.0033	3130512	1150456	4280968
